experiment,condition,protocol,genotype,pupilSize,freq,level,mag,phi
1,Awake,Singletone,Alpha9KO,Small,5000,50,2.21405724545838,2.21405724545838
1,Awake,Singletone,Alpha9KO,Small,6000,50,5.06264071653249,5.06264071653249
1,Awake,Singletone,Alpha9KO,Small,7000,50,12.8941192787451,12.8941192787451
1,Awake,Singletone,Alpha9KO,Small,8000,50,16.6458824665105,16.6458824665105
1,Awake,Singletone,Alpha9KO,Small,9000,50,26.3975154603945,26.3975154603945
1,Awake,Singletone,Alpha9KO,Small,10000,50,24.8314201668488,24.8314201668488
1,Awake,Singletone,Alpha9KO,Small,11000,50,12.0511198748396,12.0511198748396
1,Awake,Singletone,Alpha9KO,Small,12000,50,3.58543366063916,3.58543366063916
1,Awake,Singletone,Alpha9KO,Small,13000,50,0.926258905443921,0.926258905443921
1,Awake,Singletone,Alpha9KO,Small,5000,50,2.46124012068684,2.46124012068684
1,Awake,Singletone,Alpha9KO,Small,6000,50,4.18158651788046,4.18158651788046
1,Awake,Singletone,Alpha9KO,Small,7000,50,11.8764933375352,11.8764933375352
1,Awake,Singletone,Alpha9KO,Small,8000,50,16.3977390347498,16.3977390347498
1,Awake,Singletone,Alpha9KO,Small,9000,50,19.7319928375999,19.7319928375999
1,Awake,Singletone,Alpha9KO,Small,10000,50,19.4883679974778,19.4883679974778
1,Awake,Singletone,Alpha9KO,Small,11000,50,6.55623239053317,6.55623239053317
1,Awake,Singletone,Alpha9KO,Small,12000,50,1.83125832890684,1.83125832890684
1,Awake,Singletone,Alpha9KO,Small,13000,50,NaN,NaN
1,Awake,Singletone,Alpha9KO,Small,5000,50,2.98158728038548,2.98158728038548
1,Awake,Singletone,Alpha9KO,Small,6000,50,4.68577555547559,4.68577555547559
1,Awake,Singletone,Alpha9KO,Small,7000,50,12.2166658218833,12.2166658218833
1,Awake,Singletone,Alpha9KO,Small,8000,50,18.529136931483,18.529136931483
1,Awake,Singletone,Alpha9KO,Small,9000,50,25.5455810534641,25.5455810534641
1,Awake,Singletone,Alpha9KO,Small,10000,50,25.9800593483788,25.9800593483788
1,Awake,Singletone,Alpha9KO,Small,11000,50,12.1952828208154,12.1952828208154
1,Awake,Singletone,Alpha9KO,Small,12000,50,2.42060340724097,2.42060340724097
1,Awake,Singletone,Alpha9KO,Small,13000,50,0.379695796218881,0.379695796218881
1,Awake,Singletone,Alpha9KO,Small,5000,50,1.8549997920068,1.8549997920068
1,Awake,Singletone,Alpha9KO,Small,6000,50,2.39677420495543,2.39677420495543
1,Awake,Singletone,Alpha9KO,Small,7000,50,5.84581381700237,5.84581381700237
1,Awake,Singletone,Alpha9KO,Small,8000,50,9.84074248698126,9.84074248698126
1,Awake,Singletone,Alpha9KO,Small,9000,50,14.215083045601,14.215083045601
1,Awake,Singletone,Alpha9KO,Small,10000,50,16.9496819669779,16.9496819669779
1,Awake,Singletone,Alpha9KO,Small,11000,50,5.89225471734363,5.89225471734363
1,Awake,Singletone,Alpha9KO,Small,12000,50,0.319790495229895,0.319790495229895
1,Awake,Singletone,Alpha9KO,Small,13000,50,0.424915745691067,0.424915745691067
1,Awake,Singletone,Alpha9KO,Small,5000,50,1.37813213847841,1.37813213847841
1,Awake,Singletone,Alpha9KO,Small,6000,50,3.12302908739508,3.12302908739508
