experiment,condition,protocol,genotype,pupilSize,diameter
1,Awake,Singletone,Alpha9KO,Medium,0.568518487185045
1,Awake,Singletone,Alpha9KO,Medium,0.517655727485404
1,Awake,Singletone,Alpha9KO,Medium,0.54843038268433
1,Awake,Singletone,Alpha9KO,Medium,0.545338705417077
1,Awake,Singletone,Alpha9KO,Medium,0.538186087920832
1,Awake,Singletone,Alpha9KO,Medium,0.545904415745133
1,Awake,Singletone,Alpha9KO,Medium,0.527025201697783
1,Awake,Singletone,Alpha9KO,Medium,0.530716568565234
1,Awake,Singletone,Alpha9KO,Medium,0.543111804728827
1,Awake,Singletone,Alpha9KO,Medium,0.520515703611957
1,Awake,Singletone,Alpha9KO,Medium,0.521301748391084
1,Awake,Singletone,Alpha9KO,Medium,0.527098834377508
1,Awake,Singletone,Alpha9KO,Medium,0.519976834545542
1,Awake,Singletone,Alpha9KO,Medium,0.531711723707167
1,Awake,Singletone,Alpha9KO,Medium,0.523959223523196
1,Awake,Singletone,Alpha9KO,Medium,0.56030920821856
1,Awake,Singletone,Alpha9KO,Medium,0.563910076277821
1,Awake,Singletone,Alpha9KO,Medium,0.575867296019246
1,Awake,Singletone,Alpha9KO,Medium,0.55352482759287
1,Awake,Singletone,Alpha9KO,Medium,0.558068960010465
1,Awake,Singletone,Alpha9KO,Medium,0.545395976565147
1,Awake,Singletone,Alpha9KO,Medium,0.570179796096878
1,Awake,Singletone,Alpha9KO,Medium,0.556636986759503
1,Awake,Singletone,Alpha9KO,Medium,0.559364572111608
1,Awake,Singletone,Alpha9KO,Medium,0.538558254782364
1,Awake,Singletone,Alpha9KO,Medium,0.526769799677825
1,Awake,Singletone,Alpha9KO,Medium,0.551322656214589
1,Awake,Singletone,Alpha9KO,Medium,0.53650599089819
1,Awake,Singletone,Alpha9KO,Medium,0.521456970028498
1,Awake,Singletone,Alpha9KO,Medium,0.554701410335729
1,Awake,Singletone,Alpha9KO,Medium,0.537685544603205
1,Awake,Singletone,Alpha9KO,Medium,0.535227290512919
1,Awake,Singletone,Alpha9KO,Medium,0.529211633670376
1,Awake,Singletone,Alpha9KO,Medium,0.517800469716637
1,Awake,Singletone,Alpha9KO,Medium,0.545286674959883
1,Awake,Singletone,Alpha9KO,Medium,0.569434614591298
1,Awake,Singletone,Alpha9KO,Medium,0.567800684247697
1,Awake,Singletone,Alpha9KO,Medium,0.556797991117858
1,Awake,Singletone,Alpha9KO,Medium,0.551070984042318
1,Awake,Singletone,Alpha9KO,Medium,0.561723889493494
1,Awake,Singletone,Alpha9KO,Medium,0.531602476034936
1,Awake,Singletone,Alpha9KO,Medium,0.520417782492802
1,Awake,Singletone,Alpha9KO,Medium,0.527855525172592
1,Awake,Singletone,Alpha9KO,Medium,0.522953222590147
1,Awake,Singletone,Alpha9KO,Medium,0.517704029491001
1,Awake,Singletone,Alpha9KO,Medium,0.578284939009551
1,Awake,Singletone,Alpha9KO,Medium,0.528991218709834
1,Awake,Singletone,Alpha9KO,Large,0.581585818550153
1,Awake,Singletone,Alpha9KO,Large,0.599139271629851
1,Awake,Singletone,Alpha9KO,Large,0.628971471091658
1,Awake,Singletone,Alpha9KO,Large,0.583520445434285
1,Awake,Singletone,Alpha9KO,Large,0.603725403372744
1,Awake,Singletone,Alpha9KO,Large,0.600896032705587
1,Awake,Singletone,Alpha9KO,Large,0.619384512667283
1,Awake,Singletone,Alpha9KO,Large,0.685863077717614
1,Awake,Singletone,Alpha9KO,Large,0.639352893104427
1,Awake,Singletone,Alpha9KO,Large,0.653193780221557
1,Awake,Singletone,Alpha9KO,Large,0.699192783202953
1,Awake,Singletone,Alpha9KO,Large,0.618115287934045
1,Awake,Singletone,Alpha9KO,Large,0.698977824909512
1,Awake,Singletone,Alpha9KO,Large,0.667405091708902
1,Awake,Singletone,Alpha9KO,Large,0.716854165052547
1,Awake,Singletone,Alpha9KO,Large,0.671222174344745
1,Awake,Singletone,Alpha9KO,Large,0.627857759413419
1,Awake,Singletone,Alpha9KO,Large,0.697003189811311
1,Awake,Singletone,Alpha9KO,Large,0.660989507865548
1,Awake,Singletone,Alpha9KO,Large,0.599244711775978
1,Awake,Singletone,Alpha9KO,Large,0.610883154329366
1,Awake,Singletone,Alpha9KO,Large,0.634269197312879
1,Awake,Singletone,Alpha9KO,Large,0.5839589363947
1,Awake,Singletone,Alpha9KO,Large,0.601404503549166
1,Awake,Singletone,Alpha9KO,Large,0.7007140537107
1,Awake,Singletone,Alpha9KO,Large,0.592667678128893
1,Awake,Singletone,Alpha9KO,Large,0.591917566157178
1,Awake,Singletone,Alpha9KO,Large,0.654089665604392
1,Awake,Singletone,Alpha9KO,Large,0.670146794473173
1,Awake,Singletone,Alpha9KO,Large,0.625387859195487
1,Awake,Singletone,Alpha9KO,Large,0.679596942854071
1,Awake,Singletone,Alpha9KO,Large,0.607769640748332
1,Awake,Singletone,Alpha9KO,Large,0.612224332347503
1,Awake,Singletone,Alpha9KO,Large,0.579806206053207
1,Awake,Singletone,Alpha9KO,Large,0.588214947865574
1,Awake,Singletone,Alpha9KO,Large,0.611503248132432
1,Awake,Singletone,Alpha9KO,Large,0.658880211837898
1,Awake,Singletone,Alpha9KO,Large,0.705118706438778
