experiment,genotype,level,q,bf
15,Alpha9KO,0,NaN,NaN
15,Alpha9KO,10,NaN,9500
15,Alpha9KO,20,3.2311651143307,9500
15,Alpha9KO,30,3.24378986756207,9500
15,Alpha9KO,40,2.5160347096167,9500
15,Alpha9KO,50,2.01329921141553,8000
15,Alpha9KO,60,1.7713590278137,8000
15,Alpha9KO,70,1.29058421010984,7000
15,Alpha9KO,80,1.2849570456051,7000
15,Alpha9KO,90,1.15833902615634,6000
16,Alpha9KO,-10,NaN,NaN
16,Alpha9KO,0,NaN,9500
16,Alpha9KO,10,2.77219372611022,9500
16,Alpha9KO,20,3.17189296450676,9500
16,Alpha9KO,30,2.90854047902116,9500
16,Alpha9KO,40,2.21794394461853,9000
16,Alpha9KO,50,1.89755269289366,8500
16,Alpha9KO,60,1.49554912991499,8500
16,Alpha9KO,70,1.08134646222064,6500
16,Alpha9KO,80,1.12998186203674,6500
16,Alpha9KO,90,1.11197513446284,6000
17,Alpha9KO,-10,NaN,8000
17,Alpha9KO,0,NaN,8000
17,Alpha9KO,10,3.09453329009803,8000
17,Alpha9KO,20,3.05477176819393,8000
17,Alpha9KO,30,3.0154607979438,8000
17,Alpha9KO,40,2.18142584783846,8000
17,Alpha9KO,50,1.59970729965911,7000
17,Alpha9KO,60,1.48745998375799,7000
17,Alpha9KO,70,1.36302077181557,6500
17,Alpha9KO,80,1.04519066788471,5000
17,Alpha9KO,90,1.20629812812387,5000
18,Alpha9KO,-10,NaN,8000
18,Alpha9KO,0,3.13446979821742,9500
18,Alpha9KO,10,3.29347695047985,9500
18,Alpha9KO,20,3.13374505483695,9500
18,Alpha9KO,30,2.56950211102339,8500
18,Alpha9KO,40,2.06684385704609,8500
18,Alpha9KO,50,1.60857500655471,8000
18,Alpha9KO,60,1.52299007302872,8000
18,Alpha9KO,70,1.39731641353255,7500
18,Alpha9KO,80,1.13280152870456,6000
18,Alpha9KO,90,1.11713016721854,5000
19,VGLUT3KO,-10,NaN,9000
19,VGLUT3KO,0,2.43528544838233,8500
19,VGLUT3KO,10,2.52842918295133,8500
19,VGLUT3KO,20,2.51586373760144,8000
19,VGLUT3KO,30,2.68366758393366,8000
19,VGLUT3KO,40,2.57177830933875,8000
19,VGLUT3KO,50,2.11691424370337,8000
19,VGLUT3KO,60,1.56179801843981,7500
19,VGLUT3KO,70,1.25293967095944,6500
19,VGLUT3KO,80,1.13299482825553,6000
19,VGLUT3KO,90,0.943899128462937,4500
20,VGLUT3KO,-10,NaN,9000
20,VGLUT3KO,0,3.29453747169844,9500
20,VGLUT3KO,10,3.3802154015302,9000
20,VGLUT3KO,20,3.25215610184653,9000
20,VGLUT3KO,30,3.10427107777857,9000
20,VGLUT3KO,40,2.64964833767407,8500
20,VGLUT3KO,50,2.00913753688092,8500
20,VGLUT3KO,60,1.5247739085806,8000
20,VGLUT3KO,70,1.29405881313121,7500
20,VGLUT3KO,80,1.12050415057039,6500
20,VGLUT3KO,90,1.06254137219405,5500
21,VGLUT3KO,-10,NaN,9000
21,VGLUT3KO,0,3.42888636877143,9500
21,VGLUT3KO,10,3.10867555436557,9000
21,VGLUT3KO,20,3.0731462603692,9000
21,VGLUT3KO,30,2.29153170289198,8500
21,VGLUT3KO,40,1.8074909057794,8000
21,VGLUT3KO,50,1.49922958285241,8000
21,VGLUT3KO,60,1.12070152120213,6000
21,VGLUT3KO,70,1.2182543773133,5500
21,VGLUT3KO,80,1.29304002511353,5000
21,VGLUT3KO,90,1.16597960173055,4500
22,VGLUT3KO,-10,NaN,8500
22,VGLUT3KO,0,3.89924995459634,8500
22,VGLUT3KO,10,3.11747797216516,8000
22,VGLUT3KO,20,3.27986755673407,8000
