Group,Mouse,Level,BF,Q10dB
WT,7,-10,NaN,NaN
WT,7,0,9000,NaN
WT,7,10,9000,2.53637036216619
WT,7,20,9000,3.13163737099274
WT,7,30,9000,3.12252672980945
WT,7,40,8500,2.29395675414099
WT,7,50,8000,1.6885138910665
WT,7,60,6500,1.12353108222099
WT,7,70,6500,1.10936493890339
WT,7,80,6500,1.11496763974323
WT,7,90,5000,1.03580920982582
WT,8,-10,6500,NaN
WT,8,0,8500,3.04748638557513
WT,8,10,8000,3.0974081709328
WT,8,20,8000,3.04567496629374
WT,8,30,8000,2.8752001303231
WT,8,40,7500,2.44630560431888
WT,8,50,7500,1.98326409800197
WT,8,60,6500,1.42158086116557
WT,8,70,6500,1.30537951910843
WT,8,80,5500,1.17260942238263
WT,8,90,4500,1.10316507050102
WT,9,-10,NaN,NaN
WT,9,0,NaN,NaN
WT,9,10,8500,NaN
WT,9,20,8500,2.46262637505798
WT,9,30,8500,2.57937810525934
WT,9,40,7000,2.01582072490171
WT,9,50,7000,1.76709365629751
WT,9,60,6500,1.41313979290738
WT,9,70,6500,1.37193032747755
WT,9,80,6000,1.29566542415487
WT,9,90,5500,1.27111889402772
Alpha9KO,1,-10,NaN,NaN
Alpha9KO,1,0,7500,NaN
Alpha9KO,1,10,8000,1.89314131387238
Alpha9KO,1,20,8000,1.70615489396578
Alpha9KO,1,30,8000,1.76411437698639
Alpha9KO,1,40,7000,1.30528524527425
Alpha9KO,1,50,7000,1.25744953844973
Alpha9KO,1,60,6000,1.09863055988516
Alpha9KO,1,70,5500,1.11366888011966
Alpha9KO,1,80,5500,1.18519964092251
Alpha9KO,1,90,5000,1.10763159961131
Alpha9KO,2,-10,8000,NaN
Alpha9KO,2,0,8000,NaN
Alpha9KO,2,10,8500,2.95358202152952
Alpha9KO,2,20,8500,2.57825730106442
Alpha9KO,2,30,8000,2.22470916847888
Alpha9KO,2,40,8000,2.14948807958979
Alpha9KO,2,50,8000,1.98019801485169
Alpha9KO,2,60,7500,1.4744104347186
Alpha9KO,2,70,6500,1.15782591211533
Alpha9KO,2,80,6000,1.04535782157559
Alpha9KO,2,90,5000,1.0300768778824
Alpha9KO,3,-10,NaN,NaN
Alpha9KO,3,0,8500,NaN
Alpha9KO,3,10,8500,NaN
Alpha9KO,3,20,8000,2.2404012631789
Alpha9KO,3,30,8500,2.80859814681028
Alpha9KO,3,40,8500,2.37778190278488
Alpha9KO,3,50,8000,2.04759567641117
Alpha9KO,3,60,8000,1.71433573631661
Alpha9KO,3,70,7000,1.38949405738435
Alpha9KO,3,80,7000,1.2940855312472
Alpha9KO,3,90,5500,1.11498629894713
Alpha9KO,4,-10,10000,NaN
Alpha9KO,4,0,9500,3.22358872762831
Alpha9KO,4,10,9500,3.253726566277
Alpha9KO,4,20,9500,3.29481322833412
Alpha9KO,4,30,9000,3.05617905943361
Alpha9KO,4,40,8500,2.63784196116333
Alpha9KO,4,50,8500,2.50547833501217
Alpha9KO,4,60,8000,2.19858260975131
Alpha9KO,4,70,7500,1.68192852818345
Alpha9KO,4,80,7000,1.52418431497855
Alpha9KO,4,90,2500,1.17094837459286
Alpha9KO,5,-10,10500,NaN
Alpha9KO,5,0,9500,NaN
Alpha9KO,5,10,9000,NaN
Alpha9KO,5,20,9500,2.5991986790553
Alpha9KO,5,30,9500,2.2753605259321
Alpha9KO,5,40,8000,1.72435940707595
Alpha9KO,5,50,7500,1.60751981975417
Alpha9KO,5,60,7500,1.56851969203771
Alpha9KO,5,70,7000,1.42910863587861
Alpha9KO,5,80,6000,1.16492711159973
Alpha9KO,5,90,6000,1.29170422495195
Alpha9KO,6,-10,NaN,NaN
Alpha9KO,6,0,NaN,NaN
Alpha9KO,6,10,9500,NaN
Alpha9KO,6,20,9500,3.2311651143307
Alpha9KO,6,30,9500,3.24378986756207
Alpha9KO,6,40,9500,2.5160347096167
Alpha9KO,6,50,8000,2.01329921141553
Alpha9KO,6,60,8000,1.7713590278137
Alpha9KO,6,70,7000,1.29058421010984
Alpha9KO,6,80,7000,1.2849570456051
Alpha9KO,6,90,6000,1.15833902615634
Alpha9KO,7,-10,NaN,NaN
Alpha9KO,7,0,9500,NaN
Alpha9KO,7,10,9500,2.77219372611022
Alpha9KO,7,20,9500,3.17189296450676
Alpha9KO,7,30,9500,2.90854047902116
Alpha9KO,7,40,9000,2.21794394461853
Alpha9KO,7,50,8500,1.89755269289366
Alpha9KO,7,60,8500,1.49554912991499
Alpha9KO,7,70,6500,1.08134646222064
Alpha9KO,7,80,6500,1.12998186203674
Alpha9KO,7,90,6000,1.11197513446284
Alpha9KO,8,-10,8000,NaN
Alpha9KO,8,0,8000,NaN
Alpha9KO,8,10,8000,3.09453329009803
Alpha9KO,8,20,8000,3.05477176819393
Alpha9KO,8,30,8000,3.0154607979438
