Group,Mouse,Freq,Gain3070
VGLUT3KO,1,13500,NaN
VGLUT3KO,1,14000,NaN
VGLUT3KO,1,14500,NaN
VGLUT3KO,1,15000,NaN
VGLUT3KO,2,500,NaN
VGLUT3KO,2,1000,NaN
VGLUT3KO,2,1500,NaN
VGLUT3KO,2,2000,NaN
VGLUT3KO,2,2500,NaN
VGLUT3KO,2,3000,-12.1121677270519
VGLUT3KO,2,3500,NaN
VGLUT3KO,2,4000,-17.3246924811325
VGLUT3KO,2,4500,-17.8560651349693
VGLUT3KO,2,5000,-13.9374216521394
VGLUT3KO,2,5500,-18.5041247135532
VGLUT3KO,2,6000,-11.015050439456
VGLUT3KO,2,6500,-12.0624321068624
VGLUT3KO,2,7000,-9.37500117759556
VGLUT3KO,2,7500,-1.0156635275662
VGLUT3KO,2,8000,7.6648593680913
VGLUT3KO,2,8500,14.7140321907804
VGLUT3KO,2,9000,20.1193908290403
VGLUT3KO,2,9500,24.2169238265424
VGLUT3KO,2,10000,26.9680305126269
VGLUT3KO,2,10500,25.4528884325237
VGLUT3KO,2,11000,28.0297869021124
VGLUT3KO,2,11500,23.7855232997913
VGLUT3KO,2,12000,23.342428847835
VGLUT3KO,2,12500,NaN
VGLUT3KO,2,13000,NaN
VGLUT3KO,2,13500,NaN
VGLUT3KO,2,14000,NaN
VGLUT3KO,2,14500,NaN
VGLUT3KO,2,15000,NaN
VGLUT3KO,3,500,NaN
VGLUT3KO,3,1000,NaN
VGLUT3KO,3,1500,NaN
VGLUT3KO,3,2000,NaN
VGLUT3KO,3,2500,NaN
VGLUT3KO,3,3000,-20.1908526050187
VGLUT3KO,3,3500,-19.2580836541988
VGLUT3KO,3,4000,-17.7106900706785
VGLUT3KO,3,4500,-17.5317687175912
VGLUT3KO,3,5000,-15.0511583994627
VGLUT3KO,3,5500,-12.6763491954439
VGLUT3KO,3,6000,-7.7056997500774
VGLUT3KO,3,6500,-1.54775223007051
VGLUT3KO,3,7000,3.42406743492546
VGLUT3KO,3,7500,14.0331279661982
VGLUT3KO,3,8000,22.7383343924767
VGLUT3KO,3,8500,27.1911993406661
VGLUT3KO,3,9000,31.2090959790633
VGLUT3KO,3,9500,31.8916781980514
VGLUT3KO,3,10000,32.7963491587999
VGLUT3KO,3,10500,34.5230574829244
VGLUT3KO,3,11000,33.3381398873263
VGLUT3KO,3,11500,29.8282101696154
VGLUT3KO,3,12000,32.4164608717537
VGLUT3KO,3,12500,33.5332824712906
VGLUT3KO,3,13000,NaN
VGLUT3KO,3,13500,NaN
VGLUT3KO,3,14000,NaN
VGLUT3KO,3,14500,NaN
VGLUT3KO,3,15000,NaN
VGLUT3KO,4,500,NaN
VGLUT3KO,4,1000,NaN
VGLUT3KO,4,1500,NaN
VGLUT3KO,4,2000,NaN
VGLUT3KO,4,2500,NaN
VGLUT3KO,4,3000,NaN
VGLUT3KO,4,3500,NaN
VGLUT3KO,4,4000,NaN
VGLUT3KO,4,4500,-19.9554969843055
VGLUT3KO,4,5000,-15.8898725087193
VGLUT3KO,4,5500,-16.1997214038192
VGLUT3KO,4,6000,-7.73865600402713
VGLUT3KO,4,6500,-3.21003641636219
VGLUT3KO,4,7000,3.43320004732908
VGLUT3KO,4,7500,18.6339266445677
VGLUT3KO,4,8000,24.7209998165906
VGLUT3KO,4,8500,28.5878137633658
VGLUT3KO,4,9000,32.8593031763325
VGLUT3KO,4,9500,32.0585879668395
VGLUT3KO,4,10000,35.9108933954653
VGLUT3KO,4,10500,28.2876366729545
VGLUT3KO,4,11000,27.1762150435555
VGLUT3KO,4,11500,NaN
VGLUT3KO,4,12000,NaN
VGLUT3KO,4,12500,NaN
VGLUT3KO,4,13000,NaN
VGLUT3KO,4,13500,NaN
VGLUT3KO,4,14000,NaN
VGLUT3KO,4,14500,NaN
VGLUT3KO,4,15000,NaN
VGLUT3KO,5,500,NaN
VGLUT3KO,5,1000,NaN
VGLUT3KO,5,1500,NaN
VGLUT3KO,5,2000,NaN
VGLUT3KO,5,2500,NaN
VGLUT3KO,5,3000,-2.9734482178641
VGLUT3KO,5,3500,NaN
VGLUT3KO,5,4000,NaN
VGLUT3KO,5,4500,NaN
VGLUT3KO,5,5000,NaN
VGLUT3KO,5,5500,-18.1008668082373
VGLUT3KO,5,6000,-14.2293742622608
VGLUT3KO,5,6500,-11.4129513371011
VGLUT3KO,5,7000,-8.03294678539812
VGLUT3KO,5,7500,-5.69097890952051
VGLUT3KO,5,8000,-0.789074826146845
VGLUT3KO,5,8500,7.90245906364543
VGLUT3KO,5,9000,12.8296789060073
VGLUT3KO,5,9500,18.7242673299822
VGLUT3KO,5,10000,23.1331924081052
VGLUT3KO,5,10500,27.8593744312722
VGLUT3KO,5,11000,27.0616345894987
VGLUT3KO,5,11500,32.2666382799818
VGLUT3KO,5,12000,28.497680300335
VGLUT3KO,5,12500,34.5417550789787
VGLUT3KO,5,13000,NaN
VGLUT3KO,5,13500,NaN
VGLUT3KO,5,14000,NaN
VGLUT3KO,5,14500,NaN
VGLUT3KO,5,15000,NaN
VGLUT3KO,6,500,NaN
VGLUT3KO,6,1000,NaN
VGLUT3KO,6,1500,NaN
VGLUT3KO,6,2000,NaN
VGLUT3KO,6,2500,NaN
VGLUT3KO,6,3000,NaN
VGLUT3KO,6,3500,-9.73656497725237
VGLUT3KO,6,4000,NaN
VGLUT3KO,6,4500,NaN
VGLUT3KO,6,5000,-15.3640065990098
VGLUT3KO,6,5500,-12.2944694021716
VGLUT3KO,6,6000,-14.0023291845411
VGLUT3KO,6,6500,-8.24746597900359
VGLUT3KO,6,7000,-4.91926069535075
VGLUT3KO,6,7500,7.0165132465118
VGLUT3KO,6,8000,15.1927719306213
VGLUT3KO,6,8500,20.5271866821791
VGLUT3KO,6,9000,22.6816805617515
VGLUT3KO,6,9500,27.1787519953316
VGLUT3KO,6,10000,28.35876101637
VGLUT3KO,6,10500,33.0162135703381
VGLUT3KO,6,11000,29.8297048043613
VGLUT3KO,6,11500,34.9107893868445
VGLUT3KO,6,12000,30.4239379974819
VGLUT3KO,6,12500,NaN
VGLUT3KO,6,13000,NaN
VGLUT3KO,6,13500,NaN
VGLUT3KO,6,14000,NaN
VGLUT3KO,6,14500,NaN
VGLUT3KO,6,15000,NaN
VGLUT3KO,7,500,NaN
VGLUT3KO,7,1000,NaN
VGLUT3KO,7,1500,NaN
VGLUT3KO,7,2000,NaN
VGLUT3KO,7,2500,NaN
VGLUT3KO,7,3000,NaN
VGLUT3KO,7,3500,NaN
VGLUT3KO,7,4000,-17.321470477886
VGLUT3KO,7,4500,-16.2994989290694
VGLUT3KO,7,5000,-16.817367369833
VGLUT3KO,7,5500,-13.0445175523727
VGLUT3KO,7,6000,-11.9170272030309
VGLUT3KO,7,6500,-9.24491754092343
VGLUT3KO,7,7000,0.295598150146752
VGLUT3KO,7,7500,9.33657526783205
VGLUT3KO,7,8000,15.8521558805467
VGLUT3KO,7,8500,19.437867666889
VGLUT3KO,7,9000,27.5057509226174
VGLUT3KO,7,9500,30.7591697310964
VGLUT3KO,7,10000,29.9605862548099
VGLUT3KO,7,10500,28.2910069139754
VGLUT3KO,7,11000,23.9930200235284
VGLUT3KO,7,11500,28.6386785788674
VGLUT3KO,7,12000,NaN
VGLUT3KO,7,12500,NaN
VGLUT3KO,7,13000,NaN
VGLUT3KO,7,13500,NaN
VGLUT3KO,7,14000,NaN
VGLUT3KO,7,14500,NaN
VGLUT3KO,7,15000,NaN
VGLUT3KO,8,500,NaN
VGLUT3KO,8,1000,NaN
VGLUT3KO,8,1500,NaN
VGLUT3KO,8,2000,NaN
VGLUT3KO,8,2500,NaN
VGLUT3KO,8,3000,NaN
VGLUT3KO,8,3500,NaN
VGLUT3KO,8,4000,-15.7002184703255
VGLUT3KO,8,4500,-16.2286133354335
VGLUT3KO,8,5000,-15.4843498093689
VGLUT3KO,8,5500,-11.1038022723844
VGLUT3KO,8,6000,-5.09359146297527
VGLUT3KO,8,6500,-2.78983806780326
VGLUT3KO,8,7000,3.10736725391423
VGLUT3KO,8,7500,7.985957872175
VGLUT3KO,8,8000,16.1906983333826
VGLUT3KO,8,8500,20.274148741301
VGLUT3KO,8,9000,23.1985106109641
VGLUT3KO,8,9500,25.9372216297864
VGLUT3KO,8,10000,21.4945530660441
VGLUT3KO,8,10500,NaN
VGLUT3KO,8,11000,NaN
VGLUT3KO,8,11500,NaN
VGLUT3KO,8,12000,NaN
