experiment,condition,protocol,genotype,pupilSize,level,q,bf
3,Anesth,Multitone,WT,na,80,1.3173261562435,8183.61111111111
4,Anesth,Multitone,WT,na,10,NaN,11638.4444444444
4,Anesth,Multitone,WT,na,20,4.86321216830254,11471.8571428571
4,Anesth,Multitone,WT,na,30,3.51455704669006,11313.3043478261
4,Anesth,Multitone,WT,na,40,2.76868980175087,11049.347826087
4,Anesth,Multitone,WT,na,50,2.35744806477979,10377.9565217391
4,Anesth,Multitone,WT,na,60,1.80853108747294,9522.69565217391
4,Anesth,Multitone,WT,na,70,1.58215219926086,9180.31578947369
4,Anesth,Multitone,WT,na,80,1.3173261562435,8183.61111111111
5,Anesth,Multitone,WT,na,10,5.12381763588424,10890.3103448276
5,Anesth,Multitone,WT,na,20,4.38057503687019,10928.7428571429
5,Anesth,Multitone,WT,na,30,3.35772549165693,10771.5714285714
5,Anesth,Multitone,WT,na,40,2.80684018895767,10488.7142857143
5,Anesth,Multitone,WT,na,50,2.25729937224721,10457.3857142857
5,Anesth,Multitone,WT,na,60,1.69002164363902,9575.24285714286
5,Anesth,Multitone,WT,na,70,1.21110995616101,8599.37142857143
5,Anesth,Multitone,WT,na,80,1.05520156026671,7370.42857142857
6,Anesth,Multitone,WT,na,10,5.12381763588424,10890.3103448276
6,Anesth,Multitone,WT,na,20,4.38057503687019,10928.7428571429
6,Anesth,Multitone,WT,na,30,3.35772549165693,10771.5714285714
6,Anesth,Multitone,WT,na,40,2.80684018895767,10488.7142857143
6,Anesth,Multitone,WT,na,50,2.25729937224721,10457.3857142857
6,Anesth,Multitone,WT,na,60,1.69002164363902,9575.24285714286
6,Anesth,Multitone,WT,na,70,1.21110995616101,8599.37142857143
6,Anesth,Multitone,WT,na,80,1.05520156026671,7370.42857142857
7,Anesth,Multitone,Alpha9KO,na,10,5.12381763588424,10878.8032786885
7,Anesth,Multitone,Alpha9KO,na,20,4.3774526489136,10828.3797468354
7,Anesth,Multitone,Alpha9KO,na,30,3.35365110013274,10682.2151898734
7,Anesth,Multitone,Alpha9KO,na,40,2.81395361022218,10362.4050632911
7,Anesth,Multitone,Alpha9KO,na,50,2.24867245199924,10334.6455696203
7,Anesth,Multitone,Alpha9KO,na,60,1.66936366452126,9443.43037974683
7,Anesth,Multitone,Alpha9KO,na,70,1.21110995616101,8565.03797468354
7,Anesth,Multitone,Alpha9KO,na,80,1.05520156026671,7333.88607594937
8,Anesth,Multitone,Alpha9KO,na,10,5.12381763588424,10890.3103448276
8,Anesth,Multitone,Alpha9KO,na,20,4.38057503687019,10945.661971831
8,Anesth,Multitone,Alpha9KO,na,30,3.35772549165693,10755.527027027
8,Anesth,Multitone,Alpha9KO,na,40,2.80684018895767,10473.0945945946
8,Anesth,Multitone,Alpha9KO,na,50,2.25279964588977,10399.1486486486
8,Anesth,Multitone,Alpha9KO,na,60,1.69975471427185,9564.68918918919
8,Anesth,Multitone,Alpha9KO,na,70,1.24171946354136,8583.08108108108
8,Anesth,Multitone,Alpha9KO,na,80,1.10166338736009,7420.56756756757
9,Anesth,Multitone,Alpha9KO,na,10,4.7901844613918,9761.5
9,Anesth,Multitone,Alpha9KO,na,20,4.11731991377082,9757.30769230769
9,Anesth,Multitone,Alpha9KO,na,30,3.56154706151119,9505.76923076923
9,Anesth,Multitone,Alpha9KO,na,40,2.93514340140167,9317.46153846154
9,Anesth,Multitone,Alpha9KO,na,50,2.27398819272213,9046.53846153846
9,Anesth,Multitone,Alpha9KO,na,60,1.71385616721384,8298
9,Anesth,Multitone,Alpha9KO,na,70,1.47273499794179,8298
9,Anesth,Multitone,Alpha9KO,na,80,1.03598287414175,5839.84615384615
10,Anesth,Multitone,Alpha9KO,na,10,4.7901844613918,10835.0384615385
