experiment,condition,protocol,genotype,pupilSize,freq,level,mag,phi
1,Awake,Multitone,WT,Small,5110,80,10.8926001453335,-0.753378413242069
1,Awake,Multitone,WT,Small,5635,80,12.8754105827526,-0.836960204042865
1,Awake,Multitone,WT,Small,6163,80,10.4238365768892,-1.2582200193765
1,Awake,Multitone,WT,Small,6693,80,12.9196340732485,-1.55386692859127
1,Awake,Multitone,WT,Small,7225,80,8.722460167733,-1.77168953377339
1,Awake,Multitone,WT,Small,7760,80,7.40613158428334,-1.82323376569867
1,Awake,Multitone,WT,Small,8298,80,13.8641910395737,-1.46647717246124
1,Awake,Multitone,WT,Small,8838,80,18.1228465204114,-1.69689524653304
1,Awake,Multitone,WT,Small,9380,80,10.1901540466253,-2.01306139218934
1,Awake,Multitone,WT,Small,9925,80,9.83854327877314,-1.65359720629565
1,Awake,Multitone,WT,Small,10473,80,4.3274952331096,-1.67204549499869
1,Awake,Multitone,WT,Small,11023,80,2.7833488159586,-2.14419114063971
1,Awake,Multitone,WT,Small,11575,80,1.41430489934558,-2.5143312513799
1,Awake,Multitone,WT,Small,12130,80,1.04161714096069,-2.19397092899488
1,Awake,Multitone,WT,Small,12688,80,0.737109035245811,-2.4024850185989
1,Awake,Multitone,WT,Small,13248,80,0.972693392087912,-2.8991917503761
1,Awake,Multitone,WT,Small,13810,80,0.960378853036578,-2.47161759520491
1,Awake,Multitone,WT,Small,14375,80,NaN,NaN
2,Awake,Multitone,WT,Small,4068,10,0.561940038690571,-0.090520265621769
2,Awake,Multitone,WT,Small,4588,10,0.658780866854589,-1.21210585042733
2,Awake,Multitone,WT,Small,5110,10,0.684876672607906,-0.416505290160381
2,Awake,Multitone,WT,Small,5635,10,0.593721810268845,-0.775806206776845
2,Awake,Multitone,WT,Small,6163,10,0.643749171692064,-0.736111865927181
2,Awake,Multitone,WT,Small,6693,10,0.473584183693321,-1.50230920005691
2,Awake,Multitone,WT,Small,7225,10,0.596800848052364,-1.43738852745264
2,Awake,Multitone,WT,Small,7760,10,NaN,NaN
2,Awake,Multitone,WT,Small,8298,10,0.645797426256662,-2.32524814480507
2,Awake,Multitone,WT,Small,8838,10,0.510230736699264,-2.17369918229123
2,Awake,Multitone,WT,Small,9380,10,0.5577395877116,-2.69334176328608
2,Awake,Multitone,WT,Small,9925,10,0.771229434314408,-2.4035268946113
2,Awake,Multitone,WT,Small,10473,10,0.665510696896856,-2.28522114285857
2,Awake,Multitone,WT,Small,11023,10,0.800763312311788,-2.84519757369897
2,Awake,Multitone,WT,Small,11575,10,0.953528187844858,-3.22737404960839
2,Awake,Multitone,WT,Small,12130,10,1.21815337766553,-3.09947180706448
2,Awake,Multitone,WT,Small,12688,10,0.644740004667186,-3.33493359091233
2,Awake,Multitone,WT,Small,13248,10,0.68278143714917,-3.5177170175861
2,Awake,Multitone,WT,Small,13810,10,0.836419610993751,-1.8165390391441
2,Awake,Multitone,WT,Small,14375,10,0.541109424507588,-3.2273333738054
2,Awake,Multitone,WT,Small,4068,20,1.29052177822336,0.59590241276199
2,Awake,Multitone,WT,Small,4588,20,0.675760613863306,-0.422167372012873
2,Awake,Multitone,WT,Small,5110,20,0.643463691503161,-0.885446701315236
2,Awake,Multitone,WT,Small,5635,20,0.603420443116129,-0.683222646178735
2,Awake,Multitone,WT,Small,6163,20,1.48790364188139,-1.35750192496319
2,Awake,Multitone,WT,Small,6693,20,0.645807260582313,-1.2940485322561
2,Awake,Multitone,WT,Small,7225,20,0.657312924447254,-1.61517565070633
2,Awake,Multitone,WT,Small,7760,20,0.333181013063658,-1.70087287624453
2,Awake,Multitone,WT,Small,8298,20,0.783535805493231,-2.18993285989501
2,Awake,Multitone,WT,Small,8838,20,0.615390222608268,-2.32757973406469
2,Awake,Multitone,WT,Small,9380,20,0.682235050522892,-2.60263770481539
2,Awake,Multitone,WT,Small,9925,20,0.644059954201986,-2.32682170315098
2,Awake,Multitone,WT,Small,10473,20,0.993623980100889,-2.32691626595596
2,Awake,Multitone,WT,Small,11023,20,1.21095211241869,-2.85357967728747
2,Awake,Multitone,WT,Small,11575,20,1.33983274315822,-3.17685027069135
2,Awake,Multitone,WT,Small,12130,20,2.39179060198641,-3.07998116913015
2,Awake,Multitone,WT,Small,12688,20,0.803660771080425,-3.34410548130278
2,Awake,Multitone,WT,Small,13248,20,0.606032955370084,-3.54175856037703
2,Awake,Multitone,WT,Small,13810,20,0.727289168707299,-3.28933859322764
2,Awake,Multitone,WT,Small,14375,20,0.618642613059885,-4.36372177555656
2,Awake,Multitone,WT,Small,4068,30,NaN,NaN
2,Awake,Multitone,WT,Small,4588,30,0.496867361103136,-0.375134914918773
2,Awake,Multitone,WT,Small,5110,30,0.412300649092172,-0.872084220028548
2,Awake,Multitone,WT,Small,5635,30,0.674115186059153,-0.805830254576366
2,Awake,Multitone,WT,Small,6163,30,0.904833106491071,-1.04977242400681
2,Awake,Multitone,WT,Small,6693,30,0.632439185666015,-1.34290175858295
2,Awake,Multitone,WT,Small,7225,30,0.538163239822737,-1.45062681313198
2,Awake,Multitone,WT,Small,7760,30,0.605664576530068,-1.64927834298122
