experiment,condition,protocol,genotype,pupilSize,diameter
1,Anesth,TM,WT,Large,NaN
2,Anesth,TM,WT,Large,NaN
3,Anesth,TM,WT,Large,NaN
4,Anesth,TM,WT,Large,NaN
5,Anesth,TM,WT,Large,NaN
6,Anesth,TM,WT,Large,NaN
7,Anesth,TM,Alpha9KO,Small,NaN
8,Anesth,TM,Alpha9KO,Small,NaN
9,Anesth,TM,Alpha9KO,Small,NaN
10,Anesth,TM,Alpha9KO,Small,NaN
11,Anesth,TM,Alpha9KO,Small,NaN
12,Anesth,TM,Alpha9KO,Small,NaN
7,Anesth,TM,Alpha9KO,Medium,NaN
8,Anesth,TM,Alpha9KO,Medium,NaN
9,Anesth,TM,Alpha9KO,Medium,NaN
10,Anesth,TM,Alpha9KO,Medium,NaN
11,Anesth,TM,Alpha9KO,Medium,NaN
12,Anesth,TM,Alpha9KO,Medium,NaN
7,Anesth,TM,Alpha9KO,Large,NaN
8,Anesth,TM,Alpha9KO,Large,NaN
9,Anesth,TM,Alpha9KO,Large,NaN
10,Anesth,TM,Alpha9KO,Large,NaN
11,Anesth,TM,Alpha9KO,Large,NaN
12,Anesth,TM,Alpha9KO,Large,NaN
