experiment,condition,protocol,genotype,pupilSize,freq,gain1,gain2
9,Awake,Multitone,Alpha9KO,na,9380,26.1196612590433,26.6306351353417
9,Awake,Multitone,Alpha9KO,na,9925,30.7184816940237,26.6568294518047
9,Awake,Multitone,Alpha9KO,na,10473,26.5719560998146,24.914850260186
9,Awake,Multitone,Alpha9KO,na,11023,31.4999906652981,27.0085342363441
9,Awake,Multitone,Alpha9KO,na,11575,34.4470136163043,28.469235846734
9,Awake,Multitone,Alpha9KO,na,12130,36.0245465600321,27.7572620874867
9,Awake,Multitone,Alpha9KO,na,12688,33.5666821508107,26.6815459025035
9,Awake,Multitone,Alpha9KO,na,13248,NaN,27.763458512512
9,Awake,Multitone,Alpha9KO,na,13810,32.3594954643008,25.9102042586962
9,Awake,Multitone,Alpha9KO,na,14375,NaN,NaN
10,Awake,Multitone,Alpha9KO,na,4068,24.3431250133942,18.7417668860373
10,Awake,Multitone,Alpha9KO,na,4588,17.4174007955988,14.7245285686354
10,Awake,Multitone,Alpha9KO,na,5110,11.1245636530508,14.266253366858
10,Awake,Multitone,Alpha9KO,na,5635,10.7431219243738,14.6399716882451
10,Awake,Multitone,Alpha9KO,na,6163,10.9577417457934,15.8556342624063
10,Awake,Multitone,Alpha9KO,na,6693,12.0680564995677,16.5323119112269
10,Awake,Multitone,Alpha9KO,na,7225,10.1407913221719,17.3082831860404
10,Awake,Multitone,Alpha9KO,na,7760,9.25613839506205,17.471200131021
10,Awake,Multitone,Alpha9KO,na,8298,12.2633146211355,19.5727554277516
10,Awake,Multitone,Alpha9KO,na,8838,16.8726661387423,22.3335240804708
10,Awake,Multitone,Alpha9KO,na,9380,23.3443007026934,25.6045195339083
10,Awake,Multitone,Alpha9KO,na,9925,26.9639753092485,26.2236026148547
10,Awake,Multitone,Alpha9KO,na,10473,25.9059379156619,25.4343901721938
10,Awake,Multitone,Alpha9KO,na,11023,31.7654748942843,27.3213435487608
10,Awake,Multitone,Alpha9KO,na,11575,33.849623874731,28.234988248337
10,Awake,Multitone,Alpha9KO,na,12130,30.0391468004646,27.8676962877251
10,Awake,Multitone,Alpha9KO,na,12688,33.3335989641426,28.325396588354
10,Awake,Multitone,Alpha9KO,na,13248,34.8799422075934,26.5769162160513
10,Awake,Multitone,Alpha9KO,na,13810,32.3594954643008,25.5373153935259
10,Awake,Multitone,Alpha9KO,na,14375,NaN,NaN
