experiment,condition,protocol,genotype,pupilSize,freq,level,mag,phi
1,Awake,Multitone,WT,na,6163,60,3.22921037908912,-1.24657599381994
1,Awake,Multitone,WT,na,6693,60,4.15402771067382,-1.53304912939666
1,Awake,Multitone,WT,na,7225,60,3.52794200287675,-1.7270390730813
1,Awake,Multitone,WT,na,7760,60,4.24832944815211,-1.76132935187882
1,Awake,Multitone,WT,na,8298,60,8.77211480932321,-1.47404288159764
1,Awake,Multitone,WT,na,8838,60,13.3332430100635,-1.72200392545977
1,Awake,Multitone,WT,na,9380,60,9.6785401964382,-2.06378801663214
1,Awake,Multitone,WT,na,9925,60,11.1206559370092,-1.75952123501571
1,Awake,Multitone,WT,na,10473,60,5.28317523261931,-1.84287029315419
1,Awake,Multitone,WT,na,11023,60,4.96459061571051,-2.17478033912945
1,Awake,Multitone,WT,na,11575,60,2.25100809665169,-2.48512816586066
1,Awake,Multitone,WT,na,12130,60,1.58015813612895,-2.26620948741463
1,Awake,Multitone,WT,na,12688,60,0.771949758497012,-2.42497614935778
1,Awake,Multitone,WT,na,13248,60,0.545869329903327,-1.41418390438803
1,Awake,Multitone,WT,na,13810,60,0.681812317630938,-2.87279732803165
1,Awake,Multitone,WT,na,14375,60,0.712651955983589,-2.78713359440748
1,Awake,Multitone,WT,na,4068,70,3.82381556976165,-0.273178714815781
1,Awake,Multitone,WT,na,4588,70,3.87417856590297,-0.467770234684958
1,Awake,Multitone,WT,na,5110,70,6.12315776192161,-0.731004846588497
1,Awake,Multitone,WT,na,5635,70,7.40548595152496,-0.824448810401741
1,Awake,Multitone,WT,na,6163,70,6.20375575717152,-1.23974944211651
1,Awake,Multitone,WT,na,6693,70,7.704921017834,-1.52769861590783
1,Awake,Multitone,WT,na,7225,70,6.03059869139295,-1.73786288627989
1,Awake,Multitone,WT,na,7760,70,6.59017875273305,-1.77694478488464
1,Awake,Multitone,WT,na,8298,70,12.6229522216353,-1.49854995136253
1,Awake,Multitone,WT,na,8838,70,17.0380128360479,-1.75810671947259
1,Awake,Multitone,WT,na,9380,70,9.7026993339327,-2.08505891946204
1,Awake,Multitone,WT,na,9925,70,11.6078847385148,-1.74762838532013
1,Awake,Multitone,WT,na,10473,70,5.03913701136162,-1.79035422195089
1,Awake,Multitone,WT,na,11023,70,4.33123703425719,-2.14887397352462
1,Awake,Multitone,WT,na,11575,70,2.12679611439287,-2.48586331581882
1,Awake,Multitone,WT,na,12130,70,1.40079304567928,-2.24843043173581
1,Awake,Multitone,WT,na,12688,70,0.694280471443661,-2.26039307448601
1,Awake,Multitone,WT,na,13248,70,0.858693424763682,-3.60301846750546
1,Awake,Multitone,WT,na,13810,70,0.924038991371966,-2.60865125817829
1,Awake,Multitone,WT,na,14375,70,0.748330694639887,-1.91591892325122
1,Awake,Multitone,WT,na,4068,80,7.39715218208715,-0.265446933324965
1,Awake,Multitone,WT,na,4588,80,7.77153521517533,-0.464256613203313
1,Awake,Multitone,WT,na,5110,80,11.1521186280324,-0.747072362655054
1,Awake,Multitone,WT,na,5635,80,13.1152928449097,-0.838906985528994
1,Awake,Multitone,WT,na,6163,80,10.6898131000499,-1.25964682843323
1,Awake,Multitone,WT,na,6693,80,13.0831153176736,-1.55650887325034
1,Awake,Multitone,WT,na,7225,80,8.5919196096386,-1.77765081362332
1,Awake,Multitone,WT,na,7760,80,7.44897515590387,-1.83618273480367
1,Awake,Multitone,WT,na,8298,80,13.6363589117818,-1.5624104450886
1,Awake,Multitone,WT,na,8838,80,17.8324409866685,-1.82088190822743
1,Awake,Multitone,WT,na,9380,80,10.1132954171634,-2.13149918596481
1,Awake,Multitone,WT,na,9925,80,9.65941739954548,-1.77276045651188
