experiment,condition,protocol,genotype,pupilSize,freq,gain1,gain2
2,Awake,Multitone,WT,Medium,12688,34.4203678283041,26.9602716073892
2,Awake,Multitone,WT,Medium,13248,33.2663245602665,28.1411459448276
2,Awake,Multitone,WT,Medium,13810,32.2199292711648,NaN
2,Awake,Multitone,WT,Medium,14375,NaN,NaN
3,Awake,Multitone,WT,Medium,4068,8.27226463355645,15.3218946659883
3,Awake,Multitone,WT,Medium,4588,15.2320434605055,16.874675314865
3,Awake,Multitone,WT,Medium,5110,11.7458441635834,16.1107489654886
3,Awake,Multitone,WT,Medium,5635,9.13083298540035,16.065550261538
3,Awake,Multitone,WT,Medium,6163,10.7663030412933,16.219856317146
3,Awake,Multitone,WT,Medium,6693,10.6377072732985,16.0604480751593
3,Awake,Multitone,WT,Medium,7225,8.92283646510523,15.5087642528405
3,Awake,Multitone,WT,Medium,7760,8.90751892081067,16.0267408198918
3,Awake,Multitone,WT,Medium,8298,8.50373030551677,18.6443145998021
3,Awake,Multitone,WT,Medium,8838,8.18806476703098,19.9461601263123
3,Awake,Multitone,WT,Medium,9380,11.234894634849,21.9535229183539
3,Awake,Multitone,WT,Medium,9925,15.1462643391564,23.7470989959639
3,Awake,Multitone,WT,Medium,10473,20.9101911750285,25.1357016032739
3,Awake,Multitone,WT,Medium,11023,27.1527445831699,27.0346168177654
3,Awake,Multitone,WT,Medium,11575,32.1140077783613,27.982920284543
3,Awake,Multitone,WT,Medium,12130,33.2542192233093,26.8401737538944
3,Awake,Multitone,WT,Medium,12688,38.1197814253316,28.9479681034893
3,Awake,Multitone,WT,Medium,13248,39.5258294690378,31.4210801134238
3,Awake,Multitone,WT,Medium,13810,34.5803645372901,33.1713481574013
3,Awake,Multitone,WT,Medium,14375,NaN,NaN
4,Awake,Multitone,WT,Medium,4068,15.4784610425449,14.2276711800102
4,Awake,Multitone,WT,Medium,4588,14.2451245063792,13.2153345086282
4,Awake,Multitone,WT,Medium,5110,12.8555003372079,13.3533402765019
4,Awake,Multitone,WT,Medium,5635,18.0309840302274,13.4774442202477
4,Awake,Multitone,WT,Medium,6163,NaN,13.9639748176047
4,Awake,Multitone,WT,Medium,6693,10.500237410008,14.0205569199484
4,Awake,Multitone,WT,Medium,7225,14.9434305412266,14.1798227119514
4,Awake,Multitone,WT,Medium,7760,17.8036671979601,15.5061721541488
4,Awake,Multitone,WT,Medium,8298,NaN,17.608126007767
4,Awake,Multitone,WT,Medium,8838,16.2257253011403,20.6498780335571
4,Awake,Multitone,WT,Medium,9380,18.1938380643943,23.3130663573458
4,Awake,Multitone,WT,Medium,9925,25.8728346405385,27.1771886450856
4,Awake,Multitone,WT,Medium,10473,31.4510841587689,28.7216240525468
4,Awake,Multitone,WT,Medium,11023,34.45135196016,25.2163928919791
4,Awake,Multitone,WT,Medium,11575,36.3589378583246,28.8818957946344
4,Awake,Multitone,WT,Medium,12130,34.3540421316599,26.9330485372602
4,Awake,Multitone,WT,Medium,12688,NaN,NaN
4,Awake,Multitone,WT,Medium,13248,NaN,29.1985298545842
4,Awake,Multitone,WT,Medium,13810,34.1137754782563,NaN
4,Awake,Multitone,WT,Medium,14375,NaN,NaN
5,Awake,Multitone,WT,Medium,4068,13.9209961881877,14.2441125720844
5,Awake,Multitone,WT,Medium,4588,12.3627359123731,14.168589708787
5,Awake,Multitone,WT,Medium,5110,10.3976436356955,14.8170517682136
5,Awake,Multitone,WT,Medium,5635,10.9756938990896,14.9057787295697
5,Awake,Multitone,WT,Medium,6163,11.8148512061441,14.8060672777289
5,Awake,Multitone,WT,Medium,6693,9.38419641013184,14.686783997704
5,Awake,Multitone,WT,Medium,7225,9.14104023600168,14.9775132642271
5,Awake,Multitone,WT,Medium,7760,8.38378355359955,15.8549947194563
5,Awake,Multitone,WT,Medium,8298,7.26885454681227,17.4676783661659
5,Awake,Multitone,WT,Medium,8838,8.50800478432572,19.3214389925689
5,Awake,Multitone,WT,Medium,9380,11.77291197508,21.5468454114726
5,Awake,Multitone,WT,Medium,9925,16.3329197963386,23.514843997812
5,Awake,Multitone,WT,Medium,10473,22.529288588686,25.3447543009665
5,Awake,Multitone,WT,Medium,11023,29.1788567243128,25.8493671756455
5,Awake,Multitone,WT,Medium,11575,29.0613140678833,26.6097172118951
5,Awake,Multitone,WT,Medium,12130,27.6446528217196,24.8362882252841
5,Awake,Multitone,WT,Medium,12688,32.5702091027023,27.3783781535976
5,Awake,Multitone,WT,Medium,13248,35.9373158121291,30.124809833318
5,Awake,Multitone,WT,Medium,13810,NaN,31.2034303599222
5,Awake,Multitone,WT,Medium,14375,NaN,NaN
6,Awake,Multitone,WT,Medium,4068,28.3352881053281,18.0058060919729
6,Awake,Multitone,WT,Medium,4588,23.1519584268541,18.8431260970081
6,Awake,Multitone,WT,Medium,5110,18.5462294957513,17.3139213367464
6,Awake,Multitone,WT,Medium,5635,27.5501718187014,17.3177114908407
6,Awake,Multitone,WT,Medium,6163,17.454908653772,17.4928939275826
6,Awake,Multitone,WT,Medium,6693,20.8773915763909,16.2672859031012
6,Awake,Multitone,WT,Medium,7225,20.1223837109669,14.4677759678447
6,Awake,Multitone,WT,Medium,7760,13.2824839223116,15.255859520684
6,Awake,Multitone,WT,Medium,8298,15.2834527788051,16.9799752874938
6,Awake,Multitone,WT,Medium,8838,14.3883495892488,18.0949009950403
6,Awake,Multitone,WT,Medium,9380,13.5952122998902,20.1401030424148
6,Awake,Multitone,WT,Medium,9925,14.8848971942466,21.085177825923
6,Awake,Multitone,WT,Medium,10473,17.6236599983346,23.2316408388329
6,Awake,Multitone,WT,Medium,11023,21.3037594429041,24.8882019547694
6,Awake,Multitone,WT,Medium,11575,27.7547634071791,26.2570523256782
6,Awake,Multitone,WT,Medium,12130,30.3751071507557,25.2751652635048
6,Awake,Multitone,WT,Medium,12688,32.3296927789942,27.5142703088975
6,Awake,Multitone,WT,Medium,13248,36.699433117586,29.0621576140665
6,Awake,Multitone,WT,Medium,13810,39.471859259731,31.0777995463045
6,Awake,Multitone,WT,Medium,14375,NaN,NaN
1,Awake,Multitone,WT,Large,4068,13.863225977365,13.7577452175493
1,Awake,Multitone,WT,Large,4588,14.7246340584479,14.0137528014734
1,Awake,Multitone,WT,Large,5110,10.8531768300766,14.410879542968
1,Awake,Multitone,WT,Large,5635,8.88745544576287,13.8470564296672
1,Awake,Multitone,WT,Large,6163,13.6055110293877,14.2665466001881
1,Awake,Multitone,WT,Large,6693,11.0766880487198,14.3253223981755
1,Awake,Multitone,WT,Large,7225,13.0152777073397,14.7521851284664
1,Awake,Multitone,WT,Large,7760,14.9480387543002,15.8356024514772
1,Awake,Multitone,WT,Large,8298,9.95174544394514,18.7136939391549
1,Awake,Multitone,WT,Large,8838,12.9733793614141,20.9727886409662
1,Awake,Multitone,WT,Large,9380,19.1153066887946,24.71388251978
1,Awake,Multitone,WT,Large,9925,22.6132782329087,24.2958112606373
1,Awake,Multitone,WT,Large,10473,26.5834191309888,25.3101145017645
1,Awake,Multitone,WT,Large,11023,28.0378994020077,26.2341328853086
1,Awake,Multitone,WT,Large,11575,31.3033816137698,25.9640642467392
1,Awake,Multitone,WT,Large,12130,35.2741213017317,27.8194617685662
1,Awake,Multitone,WT,Large,12688,35.3183567562109,28.5395484253872
1,Awake,Multitone,WT,Large,13248,NaN,NaN
1,Awake,Multitone,WT,Large,13810,NaN,NaN
1,Awake,Multitone,WT,Large,14375,NaN,NaN
2,Awake,Multitone,WT,Large,4068,NaN,NaN
2,Awake,Multitone,WT,Large,4588,NaN,16.4849588689308
2,Awake,Multitone,WT,Large,5110,NaN,NaN
2,Awake,Multitone,WT,Large,5635,NaN,NaN
2,Awake,Multitone,WT,Large,6163,NaN,14.0899810733249
2,Awake,Multitone,WT,Large,6693,NaN,14.9092698838301
2,Awake,Multitone,WT,Large,7225,NaN,17.5026839921386
2,Awake,Multitone,WT,Large,7760,NaN,16.8926913749418
2,Awake,Multitone,WT,Large,8298,NaN,18.0288325230551
2,Awake,Multitone,WT,Large,8838,NaN,18.9262031199195
2,Awake,Multitone,WT,Large,9380,14.7241961510267,21.5128749455305
2,Awake,Multitone,WT,Large,9925,11.4287822431465,23.8867722942897
2,Awake,Multitone,WT,Large,10473,18.9511732783842,24.6147902038836
2,Awake,Multitone,WT,Large,11023,21.8317512193909,27.0700668790134
2,Awake,Multitone,WT,Large,11575,34.3995615924377,27.7703960342024
2,Awake,Multitone,WT,Large,12130,37.6077699934485,29.243028566542
2,Awake,Multitone,WT,Large,12688,36.6450917963246,28.1159782111486
2,Awake,Multitone,WT,Large,13248,NaN,NaN
2,Awake,Multitone,WT,Large,13810,NaN,NaN
2,Awake,Multitone,WT,Large,14375,NaN,NaN
3,Awake,Multitone,WT,Large,4068,5.27473045569893,14.3459321929134
3,Awake,Multitone,WT,Large,4588,NaN,16.5280546120544
3,Awake,Multitone,WT,Large,5110,6.66094071587054,16.4092357460525
3,Awake,Multitone,WT,Large,5635,NaN,15.6479281307292
3,Awake,Multitone,WT,Large,6163,NaN,15.0310524813375
3,Awake,Multitone,WT,Large,6693,4.15037501836967,15.1454094377933
3,Awake,Multitone,WT,Large,7225,NaN,14.4783128291153
3,Awake,Multitone,WT,Large,7760,NaN,14.5661946132438
3,Awake,Multitone,WT,Large,8298,NaN,17.7162479086793
3,Awake,Multitone,WT,Large,8838,8.30814289650787,19.5015482917991
3,Awake,Multitone,WT,Large,9380,11.1810667612572,21.4517212660839
3,Awake,Multitone,WT,Large,9925,13.7032129805885,23.1379199439941
3,Awake,Multitone,WT,Large,10473,19.8557060766802,24.3182949324723
3,Awake,Multitone,WT,Large,11023,26.5334751430936,25.1066586811277
3,Awake,Multitone,WT,Large,11575,31.0879466149732,26.6155439636291
3,Awake,Multitone,WT,Large,12130,33.0901758004759,25.5432588741737
3,Awake,Multitone,WT,Large,12688,34.9631095269711,27.2167963387613
3,Awake,Multitone,WT,Large,13248,NaN,30.2474349242928
3,Awake,Multitone,WT,Large,13810,NaN,31.5377560772763
3,Awake,Multitone,WT,Large,14375,NaN,NaN
4,Awake,Multitone,WT,Large,4068,NaN,NaN
4,Awake,Multitone,WT,Large,4588,NaN,NaN
4,Awake,Multitone,WT,Large,5110,NaN,NaN
4,Awake,Multitone,WT,Large,5635,NaN,NaN
4,Awake,Multitone,WT,Large,6163,NaN,NaN
4,Awake,Multitone,WT,Large,6693,NaN,NaN
4,Awake,Multitone,WT,Large,7225,NaN,NaN
4,Awake,Multitone,WT,Large,7760,NaN,NaN
4,Awake,Multitone,WT,Large,8298,NaN,NaN
4,Awake,Multitone,WT,Large,8838,NaN,NaN
4,Awake,Multitone,WT,Large,9380,NaN,NaN
4,Awake,Multitone,WT,Large,9925,NaN,NaN
4,Awake,Multitone,WT,Large,10473,NaN,NaN
4,Awake,Multitone,WT,Large,11023,NaN,NaN
4,Awake,Multitone,WT,Large,11575,NaN,NaN
4,Awake,Multitone,WT,Large,12130,NaN,NaN
